Player,Pos'n,MLS,2019 
"Grichuk, Randal",rf,4.033,"$5,000,000 "
"Kintzler, Brandon",rhp,7.003,"$5,000,000 "
"Nunez, Eduardo",2b,7.090,"$5,000,000 "
"Pederson, Joc",cf,4.028,"$5,000,000 "
"Story, Trevor",ss,3.000,"$5,000,000 "
"Wilson, Justin",lhp,6.035,"$5,000,000 "
"Lamb, Jake",1b,4.053,"$4,825,000 "
"Villar, Jonathan",2b,4.113,"$4,825,000 "
"Cron, C.J.",1b-dh,4.097,"$4,800,000 "
"Vizcaino, Arodys",rhp-c,5.168,"$4,800,000 "
"Shaw, Travis",3b,3.088,"$4,675,000 "
"Soler, Jorge",rf,3.143,"$4,666,666 "
"Jones, Nate",rhp,7.000,"$4,650,000 "
"Sanchez, Yolmer Carlos",2b,3.134,"$4,625,000 "
"Freese, David",3b,9.028,"$4,500,000 "
"Miley, Wade",lhp-s,7.025,"$4,500,000 "
"Nola, Aaron",rhp-s,3.076,"$4,500,000 "
"Rondon, Hector",rhp,6.000,"$4,500,000 "
"Salazar, Danny",rhp-s,4.162,"$4,500,000 "
"Severino, Luis",rhp-s,2.170,"$4,500,000 "
"Vazquez, Felipe",lhp,3.162,"$4,500,000 "
"Zunino, Mike",c,4.165,"$4,412,500 "
"Rodriguez, Eduardo",lhp-s,3.130,"$4,300,000 "
"Avila, Alex",c,9.061,"$4,250,000 "
"Hamilton, Billy",cf,5.028,"$4,250,000 "
"Harris, Will",rhp,5.102,"$4,225,000 "
"Smith, Will",lhp,5.155,"$4,225,000 "
"Rodon, Carlos",lhp-s,3.168,"$4,200,000 "
"Rosario, Eddie",lf,3.120,"$4,190,000 "
"Iannetta, Chris",c,12.013,"$4,150,000 "
"Ramirez, Jose",3b,4.074,"$4,150,000 "
"Souza, Steven",rf,4.072,"$4,125,000 "
"McCullers Jr., Lance",rhp-s,3.140,"$4,100,000 "
"Pham, Tommy",lf,3.107,"$4,100,000 "
"Conforto, Michael",rf,3.043,"$4,025,000 "
"Chavez, Jesse",rhp,8.108,"$4,000,000 "
"Estrada, Marco",rhp-s,9.035,"$4,000,000 "
"Flowers, Tyler",c,7.148,"$4,000,000 "
"Galvis, Freddy",ss,6.021,"$4,000,000 "
"Greene, Shane",rhp,4.075,"$4,000,000 "
"Jay, Jon",cf,8.134,"$4,000,000 "
"Kendrick, Howie",lf-2b,12.091,"$4,000,000 "
"Markakis, Nick",rf,13.000,"$4,000,000 "
"Pollock, A.J.",cf,6.052,"$4,000,000 "
"Seager, Corey",ss,3.032,"$4,000,000 "
"Suzuki, Kurt",c,11.113,"$4,000,000 "
"Polanco, Jorge",ss,2.024,"$3,958,333 "
"Sanchez, Aaron",rhp-s,4.069,"$3,900,000 "
"Panik, Joe",2b,4.100,"$3,850,000 "
"Dyson, Jarrod",lf-cf,7.088,"$3,750,000 "
"Flores, Wilmer",2b-3b,5.003,"$3,750,000 "
"Kinsler, Ian",2b,13.000,"$3,750,000 "
"Hernandez, Enrique",2b-ss,4.054,"$3,725,000 "
"Turner, Trea",ss,2.135,"$3,725,000 "
"Nelson, Jimmy",rhp-s,4.107,"$3,700,000 "
"Skaggs, Tyler",lhp-s,4.135,"$3,700,000 "
"Ahmed, Nick",ss,4.054,"$3,662,500 "
"Profar, Jurickson",2b,4.165,"$3,600,000 "
"Holt, Brock",3b-rf,5.052,"$3,575,000 "
"d'Arnaud, Travis",c,5.044,"$3,515,000 "
"Cabrera, Asdrubal",3b,11.027,"$3,500,000 "
"Garcia, Avisail",dh-rf,5.167,"$3,500,000 "
"Perez, Martin",lhp-s,6.038,"$3,500,000 "
"Shoemaker, Matt",rhp-s,4.166,"$3,500,000 "
"Taylor, Chris",cf,3.037,"$3,500,000 "
"Watson, Tony",lhp,7.101,"$3,500,000 "
"Heaney, Andrew",lhp-s,3.150,"$3,400,000 "
"Schwarber, Kyle",lf-c,3.086,"$3,390,000 "
"Lucroy, Jonathan",c,8.136,"$3,350,000 "
"Kelly, Joe",rhp,6.029,"$3,333,334 "
"Bettis, Chad",rhp-s,4.096,"$3,325,000 "
"Mazara, Nomar",rf,3.000,"$3,300,000 "
"Holland, Greg",rhp-c,7.027,"$3,250,000 "
"Mathis, Jeff",c,12.012,"$3,250,000 "
"Taylor, Michael",of,4.010,"$3,250,000 "
"Urena, Jose",rhp-s,3.040,"$3,200,000 "
"Jeffress, Jeremy",rhp,5.104,"$3,175,000 "
"Kela, Keone",rhp,4.000,"$3,175,000 "
"Rojas, Miguel",ss,4.043,"$3,155,000 "
"Manaea, Sean",lhp-s,2.157,"$3,150,000 "
"Maeda, Kenta",rhp-s,3.000,"$3,125,000 "
"Peacock, Brad",rhp,4.165,"$3,110,000 "
"Yates, Kirby",rhp-c,4.021,"$3,062,500 "
"Adams, Matt",1b-lf,6.033,"$3,000,000 "
"Buchholz, Clay",rhp-s,10.021,"$3,000,000 "
"Hirano, Yoshihisa",rhp,1.000,"$3,000,000 "
"Jones, Adam",cf,11.139,"$3,000,000 "
"Kang, Jung-Ho",3b,2.003,"$3,000,000 "
"Martin, Leonys",cf,5.161,"$3,000,000 "
"Owings, Chris",ss,5.012,"$3,000,000 "
"Richard, Clayton",lhp-s,8.163,"$3,000,000 "
"Barnhart, Tucker",c,4.075,"$2,937,500 "
"Gray, Jon",rhp-s,3.062,"$2,925,000 "
"Pressly, Ryan",rhp,5.039,"$2,900,000 "
"Vazquez, Christian",c,4.031,"$2,850,000 "
"Bundy, Dylan",rhp-s,3.026,"$2,800,000 "
"Fulmer, Michael",rhp-s,2.157,"$2,800,000 "
"Peraza, Jose",2b,2.141,"$2,775,000 "
"Chisenhall, Lonnie",rf,6.158,"$2,750,000 "
"Duffy, Matt",ss,4.059,"$2,675,000 "
"Cingrani, Tony",lhp,5.088,"$2,650,000 "
"Sano, Miguel",rf,3.066,"$2,650,000 "
"Anderson, Tyler",lhp-s,3.065,"$2,625,000 "
"Matz, Steven",lhp-s,3.099,"$2,625,000 "
"Perez, Roberto",c,4.083,"$2,625,000 "
"Boyd, Matt",lhp-s,2.136,"$2,600,000 "
"Davies, Zach",rhp-s,3.020,"$2,600,000 "
"Albers, Matt",rhp,11.141,"$2,500,000 "
"Bour, Justin",1b,4.064,"$2,500,000 "
"Hernandez, David",rhp,9.084,"$2,500,000 "
"Iglesias, Jose",ss,6.036,"$2,500,000 "
"Kelley, Shawn",rhp,9.128,"$2,500,000 "
"Maldonado, Martin",c,6.156,"$2,500,000 "
"McCann, James",c,4.028,"$2,500,000 "
"Moore, Matt",lhp-s,7.000,"$2,500,000 "
"Oh, Seung-hwan",rhp,3.000,"$2,500,000 "
"Perez, Hernan",3b,4.079,"$2,500,000 "
"Perez, Oliver",lhp,14.093,"$2,500,000 "
"Phelps, David",rhp,6.156,"$2,500,000 "
"Romo, Sergio",rhp,10.097,"$2,500,000 "
"Montgomery, Mike",lhp-s,3.089,"$2,440,000 "
"LeBlanc, Wade",lhp,5.131,"$2,300,000 "
"Diekman, Jake",lhp,6.050,"$2,250,000 "
"Martin, Chris",rhp,1.133,"$2,250,000 "
"Peralta, Wily",rhp,5.049,"$2,250,000 "
"Stammen, Craig",rhp,7.160,"$2,250,000 "
"Venters, Jonny",lhp,5.159,"$2,250,000 "
"Velasquez, Vincent",rhp-s,3.086,"$2,249,000 "
"Guerra, Junior",rhp-s,2.155,"$2,225,000 "
"Marisnick, Jake",cf,4.132,"$2,212,500 "
"Boxberger, Brad",rhp,5.109,"$2,200,000 "
"Givens, Mychal",rhp,3.069,"$2,150,000 "
"Hendriks, Liam",rhp ,4.164,"$2,150,000 "
"DeSclafani, Anthony",rhp-s,4.062,"$2,125,000 "
"Hughes, Jared",rhp,6.162,"$2,125,000 "
"Baez, Pedro",rhp,4.059,"$2,100,000 "
"Hedges, Austin",c,2.166,"$2,060,000 "
"Canha, Mark",1b-lf,3.092,"$2,050,000 "
"Lyles, Jordan",rhp,7.002,"$2,050,000 "
"Diaz, Aledmys",ss,2.100,"$2,000,000 "
"Dietrich, Derek",lf-2b,4.151,"$2,000,000 "
"Duke, Zach",lhp,12.054,"$2,000,000 "
"Forsythe, Logan",2b,7.113,"$2,000,000 "
"Grossman, Robbie",lf,4.060,"$2,000,000 "
"Harrison, Josh",2b,7.033,"$2,000,000 "
"Kelly, Merrill",rhp-s,0.000,"$2,000,000 "
"Marte, Ketel",cf-2b,2.162,"$2,000,000 "
"McCann, Brian",c,13.117,"$2,000,000 "
"Miller, Shelby",rhp-s,5.166,"$2,000,000 "
"Pence, Hunter",rf,11.156,"$2,000,000 "
"Pomeranz, Drew",lhp-s,6.013,"$2,000,000 "
"Volquez, Edinson",rhp-s,10.059,"$2,000,000 "
"Wainwright, Adam",rhp-s,13.027,"$2,000,000 "
"Walker, Neil",1b,8.166,"$2,000,000 "
"Warren, Adam",rhp,6.036,"$2,000,000 "
"Lorenzen, Michael",rhp-of,3.159,"$1,950,000 "
"Santana, Domingo",lf ,3.024,"$1,950,000 "
"Travis, Devon",2b,3.163,"$1,950,000 "
"Chafin, Andrew",lhp,4.020,"$1,945,000 "
"Gurriel, Lourdes",2b,0.119,"$1,928,571 "
"Alvarez, Jose",lhp,4.035,"$1,925,000 "
"Ramirez, J.C.",rhp,3.139,"$1,901,000 "
"Jimenez, Eloy",rf,0.000,"$1,833,333 "
"Bradley, Archie",rhp,3.112,"$1,830,000 "
"Liriano, Francisco",lhp-s,12.104,"$1,800,000 "
"Neris, Hector",rhp,3.068,"$1,800,000 "
"Parker, Blake",rhp,4.036,"$1,800,000 "
"Romine, Austin",c,5.045,"$1,800,000 "
"Beckham, Tim",3b,4.134,"$1,750,000 "
"Bedrosian, Cam",rhp,3.153,"$1,750,000 "
"Buxton, Byron",cf,2.160,"$1,750,000 "
"Granderson, Curtis",lf,13.077,"$1,750,000 "
"Parra, Gerardo",lf,9.145,"$1,750,000 "
"Solarte, Yangervis",3b,5.000,"$1,750,000 "
"Thornburg, Tyler",rhp,5.057,"$1,750,000 "
"Vincent, Nick",rhp,5.067,"$1,750,000 "
"Barraclough, Kyle",rhp,3.059,"$1,725,000 "
"Rusin, Chris",lhp-s,4.092,"$1,687,500 "
"Garcia, Luis",rhp,4.006,"$1,675,000 "
"DeJong, Paul",ss,1.127,"$1,666,667 "
"Brach, Brad",rhp,6.063,"$1,650,000 "
"Avilan, Luis",lhp,5.146,"$1,600,000 "
"Barnes, Matt",rhp,3.110,"$1,600,000 "
"Pina, Manny",c,3.046,"$1,600,000 "
"Snell, Blake",lhp-s,2.072,"$1,600,000 "
"Garcia, Leury",cf-2b,4.025,"$1,550,000 "
"Devenski, Chris",rhp,3.000,"$1,525,000 "
"Rogers, Taylor",lhp,2.145,"$1,525,000 "
"Tepera, Ryan",rhp,3.008,"$1,525,000 "
"Anderson, Brett",lhp-s,9.135,"$1,500,000 "
"Descalso, Daniel",3b-ss,8.016,"$1,500,000 "
"Edwards, Carl ",rhp,2.134,"$1,500,000 "
"Gearrin, Cory",rhp,5.136,"$1,500,000 "
"Hudson, Daniel",rhp,8.106,"$1,500,000 "
"Kingery, Scott",2b,1.000,"$1,500,000 "
"Kratz, Erik",c,4.156,"$1,500,000 "
"Leclerc, Jose",rhp,2.038,"$1,500,000 "
"Wieters, Matt",c,9.129,"$1,500,000 "
"Erlin, Robbie",lhp,4.078,"$1,450,000 "
"Anderson, Tim",ss,2.115,"$1,400,000 "
"Buchter, Ryan",lhp,3.010,"$1,400,000 "
"DeShields Jr., Delino",cf-lf,3.116,"$1,400,000 "
"McFarland, T.J.",lhp,4.164,"$1,400,000 "
"Robles, Hansel",rhp,3.119,"$1,400,000 "
"Culberson, Charlie",inf,3.084,"$1,395,000 "
"Kahnle, Tommy",rhp,3.131,"$1,387,500 "
"Altherr, Aaron",of,3.028,"$1,350,000 "
"La Stella, Tommy",2b-3b,4.057,"$1,350,000 "
"Hembree, Heath",rhp,3.106,"$1,312,500 "
"Adrianza, Ehire",2b-ss,4.131,"$1,300,000 "
"Drury, Brandon",3b,2.165,"$1,300,000 "
"Hardy, Blaine",lhp,3.108,"$1,300,000 "
"Hellickson, Jeremy",rhp-s,8.041,"$1,300,000 "
"Oberg, Scott",rhp,3.063,"$1,300,000 "
"Otero, Danny",rhp,5.124,"$1,300,000 "
"Strickland, Hunter",rhp-c,3.163,"$1,300,000 "
"Claudio, Alex",lhp,3.114,"$1,275,000 "
"Norris, Daniel",lhp,3.073,"$1,275,000 "
"Roe, Chaz",rhp,3.094,"$1,275,000 "
"Leone, Dominic",rhp,3.123,"$1,260,000 "
"Duda, Lucas",1b,7.137,"$1,250,000 "
"Hundley, Nick",c,10.059,"$1,250,000 "
"Joyce, Matt",rf,9.123,"$1,250,000 "
"Tomlin, Josh",rhp-s,8.033,"$1,250,000 "
"Bird, Greg",1b,3.053,"$1,200,000 "
"Loup, Aaron",lhp,6.040,"$1,200,000 "
"Jankowski, Travis",cf,2.169,"$1,165,000 "
"Cabrera, Melky",lf,12.077,"$1,150,000 "
"Workman, Brandon",rhp,4.051,"$1,150,000 "
"Plawecki, Kevin",c,2.167,"$1,137,500 "
"Conley, Adam",lhp-s,2.147,"$1,125,000 "
"Martinez, Jose",lf-rf,2.027,"$1,125,000 "
"Morgan, Adam",lhp,3.017,"$1,100,000 "
"Phegley, Josh",c,4.087,"$1,075,000 "
"Tropeano, Nick",rhp-s,3.068,"$1,075,000 "
"Bourjos, Peter",cf,7.127,"$1,000,000 "
"Gomez, Jeanmar",rhp,6.056,"$1,000,000 "
"Herrmann, Chris",c,4.128,"$1,000,000 "
"Lowe, Brandon",2b-of,0.058,"$1,000,000 "
"Merrifield, Whit",2b,2.101,"$1,000,000 "
"Miller, Brad",2b,5.047,"$1,000,000 "
"Ramirez, Hanley",dh-1b,12.077,"$1,000,000 "
"Ramirez, Neil",rhp,4.001,"$1,000,000 "
"Reynolds, Mark",1b,11.108,"$1,000,000 "
