Player,Pos'n,MLS,Salary 
"Chatwood, Tyler",rhp-s,4.039,"$1,000,000 "
"Cowgill, Collin",cf-rf,3.151,"$1,000,000 "
"Detwiler, Ross",lhp-s,6.002,"$1,000,000 "
"Floyd, Gavin",rhp,9.045,"$1,000,000 "
"Francoeur, Jeff",rf,9.075,"$1,000,000 "
"Gentry, Craig",cf-rf,4.152,"$1,000,000 "
"Joyce, Matt",of,6.123,"$1,000,000 "
"Lee, Dae-ho",1b,0.000,"$1,000,000 "
"Luebke, Cory",lhp,5.033,"$1,000,000 "
"McGowan, Dustin",rhp,8.170,"$1,000,000 "
"Wallace, Brett",1b,3.003,"$1,000,000 "
"Wang, Chien-Ming",rhp-s,8.016,"$1,000,000 "
"Webb, Ryan",rhp,6.003,"$1,000,000 "
"Yelich, Christian",lf,2.069,"$1,000,000 "
"Capps, Carter",rhp,3.007,"$987,500 "
"Gimenez, Chris",c,3.163,"$975,000 "
"Putnam, Zach",rhp,2.135,"$975,000 "
"Boyer, Blaine",rhp,6.070,"$950,000 "
"Torres, Carlos",rhp,3.114,"$950,000 "
"Burriss, Emmanuel",ss,3.164,"$925,000 "
"Fields, Josh",rhp,3.000,"$900,000 "
"Jones, Nate",rhp-c,4.000,"$900,000 "
"Moore, Tyler",1b-of,,"$900,000 "
"Romine, Andrew",ss-2b,3.049,"$900,000 "
"Scheppers, Tanner",rhp,3.094,"$900,000 "
"Vizcaino, Arodys",rhp,2.168,"$897,500 "
"Eveland, Dana",lhp,4.055,"$895,000 "
"Kratz, Erik",c,3.075,"$850,000 "
"Parker, Jarrod",rhp-s,4.000,"$850,000 "
"Jennings, Dan",lhp,2.171,"$810,000 "
"Scribner, Evan",rhp,2.142,"$807,500 "
"Ohlendorf, Ross",rhp,6.108,"$800,000 "
"Rosales, Adam",inf,5.163,"$800,000 "
"Thole, Josh",c,4.165,"$800,000 "
"Manship, Jeff",rhp,2.130,"$765,000 "
"Coleman, Louis",rhp,3.018,"$725,000 "
"Gurka, Jason",lhp,0.038,"$660,000 "
"Bryant, Kris",3b,0.171,"$652,000 "
"Bogaerts, Xander",ss,2.042,"$650,000 "
"Choi, Ji-Man",1b,0.000,"$650,000 "
"Edgin, Josh",lhp,3.015,"$625,000 "
"deGrom, Jacob",rhp-s,1.139,"$607,000 "
"Holt, Brock",ss,2.052,"$606,000 "
"Henderson, Jim",rhp,2.070,"$600,000 "
"Wood, Blake",rhp,3.131,"$600,000 "
"Gibson, Kyle",rhp,2.056,"$587,500 "
"Fryer, Eric",c,1.108,"$575,000 "
"Kensing, Logan",rhp,4.086,"$575,000 "
"Hicks, Aaron",of,2.041,"$574,000 "
"Hamilton, Billy",cf,2.028,"$570,000 "
"Ozuna, Marcell",cf,2.124,"$570,000 "
"Betts, Mookie",cf,1.070,"$566,000 "
"Layne, Tommy",lhp,1.144,"$563,750 "
"Romine, Austin",c,2.045,"$556,000 "
"Cosart, Jarred",rhp-s,2.020,"$550,000 "
"Gearrin, Cory",rhp,2.136,"$550,000 "
"Cole, Gerrit",rhp-s,2.111,"$548,000 "
"Sano, Miguel Jean",rf,0.095,"$547,500 "
"Bradley, Jackie Jr.",cf,1.150,"$546,500 "
"Wheeler, Zack",rhp-s,2.098,"$546,250 "
"May, Trevor",rhp,1.051,"$545,000 "
"Panik, Joe",2b,1.100,"$545,000 "
"Suarez, Eugenio",ss-2b,1.061,"$545,000 "
"Roark, Tanner",rhp-s,2.055,"$543,400 "
"d'Arnaud, Travis",c,2.044,"$542,604 "
"Rosario, Eddie",lf,0.154,"$542,500 "
"Hendricks, Kyle",rhp-s,1.081,"$541,000 "
"Lindor, Francisco",ss,0.113,"$540,300 "
"DeSclafani, Anthony",rhp,1.062,"$540,000 "
"Workman, Brandon",rhp,2.018,"$539,500 "
"Martinez, Carlos",rhp-s,2.073,"$539,000 "
"Siegrist, Kevin",lhp,2.116,"$539,000 "
"Wacha, Michael",rhp-s,2.062,"$539,000 "
"Bour, Justin",1b,1.064,"$537,500 "
"Duffy, Matt",3b,1.059,"$537,500 "
"Santana, Danny",ss,1.111,"$537,500 "
"Castellanos, Nick",3b,2.029,"$536,500 "
"Salazar, Danny",rhp-s,1.162,"$536,200 "
"Syndergaard, Noah",rhp-s,0.149,"$535,375 "
"Arcia, Oswaldo",lf-rf,2.020,"$535,000 "
"Culberson, Charlie",inf,1.137,"$535,000 "
"Petricka, Jake",rhp,2.044,"$535,000 "
"Polanco, Gregory",rf,1.103,"$535,000 "
"Sands, Jerry",of-1b,1.142,"$535,000 "
"Robinson, Clint",1b,1.028,"$534,900 "
"Shreve, Chasen",lhp,1.041,"$533,400 "
"Nuno, Vidal",lhp,2.015,"$532,900 "
"Caminero, Arquimedes",rhp,1.060,"$532,500 "
"Giavotella, Johnny",2b,2.055,"$532,500 "
"Realmuto, J.T.",c,1.038,"$532,500 "
"Gausman, Kevin",rhp-s,1.151,"$532,000 "
"La Stella, Tommy",2b,1.124,"$532,000 "
"Owings, Chris",2b,2.027,"$530,500 "
"Asche, Cody",3b-lf,2.062,"$530,000 "
"Cingrani, Tony",lhp,2.088,"$530,000 "
"Heston, Chris",rhp-s,1.027,"$530,000 "
"Shoemaker, Matt",rhp-s,1.166,"$530,000 "
"Wood, Alex",lhp-s,2.123,"$530,000 "
"Peralta, David",rf,1.120,"$529,600 "
"McHugh, Collin",rhp-s,2.085,"$529,000 "
"Smith, Carson",rhp,1.028,"$529,000 "
"Murphy, John Ryan",c,1.120,"$528,700 "
"Walker, Taijuan",rhp-s,1.142,"$528,600 "
"Giles, Ken",rhp,1.113,"$528,200 "
"Herrera, Odubel",cf,1.000,"$528,000 "
"Miller, Brad",ss,2.094,"$527,600 "
"Gray, Sonny",rhp-s,2.061,"$527,500 "
"Vogt, Stephen",c,2.084,"$527,500 "
"Farquhar, Danny",rhp,2.080,"$527,000 "
"Ruf, Darin",1b-of,2.066,"$527,000 "
"Russell, Addison",ss,0.167,"$527,000 "
"Maurer, Brandon",rhp,2.089,"$526,400 "
"Flores, Wilmer",ss,2.003,"$526,014 "
"Harris, Will",rhp,2.102,"$525,500 "
"Solarte, Yangervis",2b-3b,2.000,"$525,500 "
"Vincent, Nick",rhp,2.067,"$525,500 "
"Bird, Greg",1b,0.053,"$525,300 "
"Dyson, Sam",rhp,1.142,"$525,270 "
"Cron, C.J.",1b,1.110,"$525,000 "
"Diaz, Jose ""Jumbo""",rhp,1.073,"$525,000 "
"Gose, Anthony",of,2.082,"$525,000 "
"Hernandez, Cesar",2b,1.154,"$525,000 "
"Treinen, Blake",rhp,1.065,"$524,900 "
"Whitley, Chase",rhp-s,1.125,"$524,525 "
"Davis, Khris",lf,2.104,"$524,500 "
"Ramirez, Neil",rhp,1.158,"$524,500 "
"Rosscup, Zac",lhp,1.105,"$524,500 "
"Cedeno, Xavier",lhp,2.060,"$524,100 "
"Fiers, Michael",rhp,2.085,"$524,100 "
"Taylor, Michael",of,1.037,"$524,000 "
"Myers, Wil",1b,2.104,"$523,900 "
"Karns, Nate",rhp,1.033,"$523,700 "
"Joseph, Caleb",c,1.145,"$523,500 "
"McFarland, T.J.",lhp,2.061,"$523,500 "
"Hendriks, Liam",rhp,2.038,"$523,400 "
"Inciarte, Ender",of,1.157,"$523,000 "
"Dickerson, Corey",lf-dh,2.101,"$522,900 "
"Odor, Rougned",2b,1.121,"$522,700 "
"Dietrich, Derek",2b-ss,1.151,"$522,500 "
"Schoop, Jonathan",2b-3b,2.027,"$522,500 "
"Wilson, Alex",rhp,2.038,"$522,500 "
"Springer, George",rf,1.166,"$522,400 "
"Nelson, Jimmy",rhp-s,1.107,"$522,300 "
"Schwarber, Kyle",lf,0.086,"$522,000 "
"Carrera, Ezequiel",of,2.039,"$521,800 "
"Colome, Alex",rhp-s,1.118,"$521,700 "
"Ahmed, Nick",ss,1.054,"$521,600 "
"Colabello, Chris",1b,1.157,"$521,300 "
"Severino, Luis",rhp,0.061,"$521,300 "
"Quackenbush, Kevin",rhp,1.136,"$521,200 "
"Pillar, Kevin",cf,1.113,"$521,100 "
"Ray, Robbie",lhp-s,1.007,"$521,000 "
"Rodriguez, Eduardo",lhp,0.130,"$521,000 "
"Shuck, J.B.",lf,2.111,"$521,000 "
"Odorizzi, Jake",rhp-s,2.042,"$520,700 "
"Hardy, Blaine",lhp,1.106,"$520,500 "
"Peterson, Jace",2b,1.058,"$520,500 "
"Rodriguez, Paco",lhp,2.120,"$520,500 "
"Lamb, Jake",3b,1.053,"$520,300 "
"Anderson, Chase",rhp,1.146,"$520,200 "
"Goins, Ryan",ss,1.116,"$520,200 "
"Baez, Pedro",rhp,1.059,"$520,000 "
"Baumann, Buddy",lhp,0.000,"$520,000 "
"Buchter, Ryan",lhp,0.010,"$520,000 "
"Grichuk, Randal",cf,1.061,"$520,000 "
"Hernandez, Enrique ""Kike""",2b-ss,1.054,"$520,000 "
"Lobstein, Kyle",lhp,1.033,"$520,000 "
"Morin, Mike",rhp,1.137,"$520,000 "
"Otero, Danny",rhp,2.124,"$520,000 "
"Paredes, Jimmy",3b-rf,2.059,"$520,000 "
"Pederson, Joc",cf,1.028,"$520,000 "
"Pressly, Ryan",rhp,2.053,"$520,000 "
"Chafin, Andrew",lhp,1.020,"$519,700 "
"Alvarez, Jose",lhp,1.059,"$519,500 "
"Marisnick, Jake",cf-rf,1.145,"$519,500 "
"McCann, James",c,1.028,"$519,500 "
"Barrett, Aaron",rhp,1.144,"$519,400 "
"Geltz, Steve",rhp,1.035,"$519,300 "
"Boxberger, Brad",rhp,2.109,"$519,200 "
"Jeffress, Jeremy",rhp,2.104,"$519,100 "
"Holaday, Bryan",c,2.025,"$519,000 "
"Jungmann, Taylor",rhp,0.118,"$518,500 "
"Swihart, Blake",c,0.156,"$518,500 "
"Colon, Christian",2b,1.022,"$518,425 "
"Ramirez, Jose",2b-ss,1.074,"$518,200 "
"Gennett, Scooter",2b-ss,2.071,"$518,100 "
"Kela, Keone",rhp,1.000,"$518,000 "
"Oberholtzer, Brett",lhp,1.127,"$518,000 "
"Rodon, Carlos",lhp,0.168,"$518,000 "
"Rupp, Cameron",c,1.089,"$518,000 "
"Sanchez, Aaron",rhp-s,1.069,"$517,800 "
"Spangenberg, Cory",2b,1.028,"$517,700 "
"Barnhart, Tucker",c,1.075,"$517,500 "
"Franco, Maikel",3b,0.170,"$517,500 "
"Frias, Carlos",rhp-s,1.047,"$517,500 "
"Garcia, Yimi",rhp,1.004,"$517,500 "
"Nola, Aaron",rhp-s,0.076,"$517,500 "
"Strickland, Hunter",rhp,0.163,"$517,500 "
"DeShields Jr., Delino",2b-of,1.000,"$517,300 "
"Conforto, Michael",lf,0.073,"$517,246 "
"DeJesus Jr., Ivan",ss,1.099,"$517,000 "
"Greene, Shane",rhp,1.075,"$517,000 "
"Correa, Carlos",ss,0.119,"$516,700 "
"McCullers Jr., Lance",rhp,0.139,"$516,700 "
"Mitchell, Bryan",rhp,0.129,"$516,650 "
"Clevenger, Steve",c,2.123,"$516,500 "
"Lorenzen, Michael",rhp,0.159,"$516,500 "
"Robles, Hansel",rhp,1.000,"$516,500 "
"Osuna, Roberto",rhp-c,1.000,"$516,100 "
"Rivero, Felipe",lhp,0.162,"$516,100 "
"Souza, Steven",rf,1.072,"$516,100 "
"Eickhoff, Jerad",rhp-s,0.045,"$516,000 "
"Velasquez, Vincent",rhp-s,0.086,"$516,000 "
"Herrmann, Chris",c,2.001,"$515,900 "
"Stroman, Marcus",rhp,1.148,"$515,900 "
"Perez, Roberto",c,1.083,"$515,800 "
"Matz, Steven",lhp-s,0.099,"$515,750 "
"Altherr, Aaron",lf,0.054,"$515,500 "
"Marte, Ketel",ss,0.066,"$515,400 "
"Bolsinger, Mike",rhp,0.168,"$515,000 "
"Heaney, Andrew",lhp,0.150,"$515,000 "
"Montgomery, Mike",lhp,0.089,"$515,000 "
"Neris, Hector",rhp,0.104,"$515,000 "
"Ravin, Josh",rhp,0.059,"$515,000 "
"Shaw, Travis",1b,0.088,"$515,000 "
"Tonkin, Michael",rhp,1.005,"$515,000 "
"Tucker, Preston",of,0.150,"$515,000 "
"Verrett, Logan",rhp,0.094,"$514,875 "
"Beckham, Tim",2b-ss,1.145,"$514,500 "
"Norris, Daniel",lhp,0.122,"$514,500 "
"Rasmus, Cory",rhp,1.155,"$514,500 "
"Wright, Steve",rhp,1.089,"$514,500 "
"Kiermaier, Kevin",cf,1.131,"$514,400 "
"Ross, Joe",rhp-s,0.094,"$514,400 "
"Orlando, Paulo",of,0.137,"$514,250 "
"Blazek, Michael",rhp,1.067,"$514,200 "
"Hinojosa, Dalier",rhp,0.046,"$514,000 "
"Nieuwenhuis, Kirk",cf-lf,2.112,"$514,000 "
"Gosselin, Phil",2b,1.085,"$513,900 "
"Thornburg, Tyler",rhp-s,2.057,"$513,900 "
"Santana, Domingo",rf,0.079,"$513,800 "
"Casali, Curt",c,1.015,"$513,600 "
"Campbell, Eric",1b-3b,1.112,"$513,308 "
"Schultz, Bo",rhp,0.146,"$513,300 "
"Knebel, Corey",rhp,0.166,"$513,000 "
"Perez, Carlos",c,0.154,"$513,000 "
"Saladino, Tyler",ss,0.087,"$513,000 "
"Vazquez, Christian",c,1.082,"$513,000 "
"Villar, Jonathan",ss,1.113,"$512,900 "
"Adrianza, Ehire",ss,1.131,"$512,500 "
"Barnes, Austin",c,0.060,"$512,500 "
"Bergman, Christian",rhp,1.112,"$512,500 "
"Bettis, Chad",rhp-s,1.096,"$512,500 "
"Burns, Billy",cf,1.020,"$512,500 "
"Buxton, Byron",cf,0.113,"$512,500 "
"Canha, Mark",1b-dh,1.000,"$512,500 "
"Conley, Adam",lhp,0.070,"$512,500 "
"Graveman, Kendall",rhp-s,1.014,"$512,500 "
"Hollands, Mario",lhp,2.000,"$512,500 "
"Lyons, Tyler",lhp,1.070,"$512,500 "
"Mariot, Michael",rhp,0.122,"$512,500 "
"Osich, Josh",lhp,0.094,"$512,500 "
"Paulsen, Ben",1b,1.012,"$512,500 "
"Phegley, Josh",c,1.114,"$512,500 "
"Piscotty, Stephen",rf,0.076,"$512,500 "
"Rusin, Chris",lhp-s,1.092,"$512,500 "
"Semien, Marcus",ss,1.118,"$512,500 "
"Thompson, Trayce",of,0.063,"$512,500 "
"Tomlinson, Kelby",2b,0.063,"$512,500 "
"Straily, Dan",rhp,1.126,"$512,100 "
"Baez, Javier",ss,0.089,"$512,000 "
"Sardinas, Luis",2b,0.143,"$512,000 "
"Sucre, Jesus",c,1.169,"$512,000 "
"Yates, Kirby",rhp,1.066,"$511,900 "
"McKirahan, Andrew",lhp,0.168,"$511,750 "
"Alberto, Hanser",ss,0.086,"$511,500 "
"Finnegan, Brandon",lhp-s,0.107,"$511,500 "
"Givens, Mychal",rhp,0.069,"$511,500 "
"Szczur, Matt",of,0.134,"$511,500 "
"Wilson, Tyler",rhp,0.068,"$511,500 "
"Anderson, Cody",rhp,0.106,"$511,400 "
"Plawecki, Kevin",c,0.147,"$511,360 "
"Perez, Williams",rhp,0.149,"$511,250 "
"Bethancourt, Christian",c,1.014,"$511,200 "
"Travis, Devon",2b,1.000,"$511,200 "
"Barnes, Matt",rhp,0.110,"$511,000 "
"Rojas, Miguel",ss,1.043,"$511,000 "
"Zych, Tony",rhp,0.034,"$511,000 "
"Bedrosian, Cam",rhp,0.161,"$510,500 "
"Collins, Tyler",of,0.145,"$510,500 "
"Leon, Arnold",rhp,0.073,"$510,500 "
"Wright, Mike",rhp,0.100,"$510,500 "
"Rea, Colin",rhp-s,0.055,"$510,200 "
"Rua, Ryan",inf,1.008,"$510,120 "
"Pena, Ariel",rhp,0.031,"$510,100 "
"Alvarez, R.J.",rhp,0.091,"$510,000 "
"Bassitt, Chris",rhp-s,0.127,"$510,000 "
"Brooks, Aaron",rhp,0.070,"$510,000 "
"Diaz, Elias",c,0.034,"$510,000 "
"Duvall, Adam",lf,0.096,"$510,000 "
"Montas, Frankie",rhp,0.035,"$510,000 "
"Pham, Tommy",of,0.149,"$510,000 "
"Romero, Enny",lhp-s,0.072,"$510,000 "
"Seager, Corey",ss,0.032,"$510,000 "
"Nolin, Sean",lhp-s,0.100,"$509,700 "
"Williams, Mason",of,0.116,"$509,700 "
"Cotham, Caleb",rhp,0.042,"$509,675 "
"Edwards, Jon",rhp,0.111,"$509,600 "
"Adames, Cristhian",ss,0.052,"$509,500 "
"Anderson, Tyler",lhp,0.087,"$509,500 "
"Castro, Miguel",rhp,0.063,"$509,500 "
"Diaz, Jairo",rhp,0.064,"$509,500 "
"Farmer, Buck",rhp,0.128,"$509,500 "
"Gray, Jon",rhp-s,0.062,"$509,500 "
"Klein, Phil",rhp,0.086,"$509,500 "
"Matzek, Tyler",lhp,0.144,"$509,500 "
"Miller, Justin",rhp,0.171,"$509,500 "
"Ramirez, Noe",rhp,0.044,"$509,500 "
"Ryan, Kyle",lhp-s,0.113,"$509,500 "
"VerHagen, Drew",rhp-s,0.029,"$509,500 "
"Bracho, Silvino",rhp,0.036,"$509,300 "
"Barrios, Yhonathan",rhp,0.013,"$509,200 "
"Harris, Mitch",rhp,0.117,"$509,000 "
"Drury, Brandon",3b,0.034,"$508,900 "
"Flores, Ramon",lf,0.021,"$508,800 "
"Jankowski, Travis",of,0.047,"$508,800 "
"Garcia, Adonis",of,0.076,"$508,750 "
"Rivera, Yadiel",ss,0.013,"$508,600 "
"Torreyes, Ronnie",2b,0.022,"$508,600 "
"Beeler, Dallas",rhp,0.050,"$508,500 "
"Brito, Socrates",of,0.027,"$508,500 "
"Broxton, Keon",of,0.014,"$508,500 "
"Faulkner, Andrew",lhp,0.038,"$508,500 "
"Gore, Terrance",of,0.066,"$508,500 "
"Jackson, Luke",rhp,0.040,"$508,500 "
"Lazo, Raudel",lhp,0.033,"$508,500 "
"Liriano, Rymer",of,0.049,"$508,500 "
"Nesbitt, Angel",rhp,0.069,"$508,500 "
"Winkler, Daniel",rhp,1.000,"$508,500 "
"Fuentes, Reymond",of,0.037,"$508,450 "
"Feliz, Michael",rhp,0.038,"$508,200 "
"Stassi, Max",c,0.105,"$508,200 "
"Brown, Trevor",c,0.019,"$508,000 "
"Moscot, Jon",rhp-s,0.122,"$508,000 "
"Simmons, Shae",rhp,1.121,"$508,000 "
"Skipworth, Kyle",c,0.029,"$508,000 "
"Banuelos, Manny",lhp,0.095,"$507,500 "
"Barbato, Johnny",rhp,0.000,"$507,500 "
"Barrett, Jake",rhp,0.000,"$507,500 "
"Betances, Dellin",rhp,2.078,"$507,500 "
"Biagini, Joe",rhp,0.000,"$507,500 "
"Biddle, Jesse",lhp,0.000,"$507,500 "
"Blash, Jabari",rf,0.000,"$507,500 "
"Bowman, Matt",rhp,0.000,"$507,500 "
"Cessa, Luis",rhp,0.000,"$507,500 "
"Dull, Ryan",rhp,0.034,"$507,500 "
"Ferrell, Jeff",rhp,0.040,"$507,500 "
"Gant, John",rhp,0.000,"$507,500 "
"Garcia, Greg",ss,0.110,"$507,500 "
"Goeddel, Tyler",lf,0.000,"$507,500 "
"Hazelbaker, Jeremy",of,0.000,"$507,500 "
"Holt, Tyler",of,0.075,"$507,500 "
"Hunter, Cedric",of,0.010,"$507,500 "
"Jones, Zach",rhp,0.000,"$507,500 "
"Lamb, John",lhp-s,0.054,"$507,500 "
"Naquin, Tyler",of,0.000,"$507,500 "
"Peraza, Jose",2b,0.042,"$507,500 "
"Perdomo, Luis",rhp,0.000,"$507,500 "
"Ramirez, Jose A.",rhp,0.074,"$507,500 "
"Rickard, Joey",of,0.000,"$507,500 "
"Rodriguez, Yorman",of,0.032,"$507,500 "
"Saltalamacchia, Jarrod",c,8.031,"$507,500 "
"Sampson, Keyvius",rhp,0.067,"$507,500 "
"Schebler, Scott",of,0.035,"$507,500 "
"Story, Trevor",ss,0.000,"$507,500 "
"Stubbs, Drew",lf,6.005,"$507,500 "
"Stumpf, Daniel",lhp,0.000,"$507,500 "
"Villanueva, Christian",3b,0.000,"$507,500 "
"Walsh, Colin",2b,0.000,"$507,500 "
"White, Tyler",1b,0.000,"$507,500 "
"Wisler, Matt",rhp-s,0.108,"$507,500 "
"Wolters, Tony",c,0.000,"$507,500 "
