Player,Pos'n,MLS,Salary, 
"Teheran, Julio",rhp-s,5.062,"$8,166,667 ",,
"Garcia, Jaime",lhp-s,9.047,"$8,000,000 ",,
"Valbuena, Luis",1b-3b,7.148,"$8,000,000 ",,
"Castro, Jason",c,7.104,"$8,000,000 ",,
"Carrasco, Carlos",rhp-s,6.147,"$8,000,000 ",,
"Frazier, Todd",3b,6.071,"$8,000,000 ",,
"Herrera, Kelvin",rhp,5.157,"$7,937,500 ",,
"Familia, Jeurys",rhp-c,5.023,"$7,925,000 ",,
"Grandal, Yasmani",c,5.115,"$7,900,000 ",,
"Ryu, Hyun-Jin",lhp-s,5.000,"$7,833,333 ",,
"Marte, Starling",cf,4.163,"$7,833,333 ",,
"Neshek, Pat",rhp,9.159,"$7,750,000 ",,
"Cecil, Brett",lhp,7.152,"$7,750,000 ",,
"Nicasio, Juan",rhp,6.084,"$7,750,000 ",,
"Pollock, A.J.",cf,5.052,"$7,750,000 ",,
"Madson, Ryan",rhp-c,12.155,"$7,666,666 ",,
"Shaw, Bryan",rhp,6.081,"$7,500,000 ",,
"Corbin, Patrick",lhp-s,5.105,"$7,500,000 ",,
"Mikolas, Miles",rhp-s,1.037,"$7,500,000 ",,
"deGrom, Jacob",rhp-s,3.139,"$7,400,000 ",,
"Richards, Garrett",rhp-s,5.148,"$7,300,000 ",,
"Rizzo, Anthony",1b,5.168,"$7,285,714 ",,
"Moss, Brandon",dh-1b,7.160,"$7,250,000 ",,
"Castillo, Welington",c,6.009,"$7,250,000 ",,
"Bogaerts, Xander",ss,4.042,"$7,050,000 ",,
"Smith, Joe",rhp,10.091,"$7,000,000 ",,
"Morton, Charlie",rhp-s,9.010,"$7,000,000 ",,
"Blevins, Jerry",lhp,8.081,"$7,000,000 ",,
"Tazawa, Junichi",rhp,7.086,"$7,000,000 ",,
"Dunn, Michael",lhp,7.079,"$7,000,000 ",,
"McGee, Jake",lhp,6.127,"$7,000,000 ",,
"Alonso, Yonder",1b,6.116,"$7,000,000 ",,
"Ottavino, Adam",rhp,6.087,"$7,000,000 ",,
"Yelich, Christian",cf,4.069,"$7,000,000 ",,
"Galvis, Freddy",ss,5.021,"$6,825,000 ",,
"Mercer, Jordy",ss,5.095,"$6,750,000 ",,
"Cole, Gerrit",rhp-s,4.111,"$6,750,000 ",,
"Gattis, Evan",dh-c,5.000,"$6,700,000 ",,
"Garcia, Avisail",rf,4.167,"$6,700,000 ",,
"Bauer, Trevor",rhp-s,3.158,"$6,525,000 ",,
"Lucroy, Jonathan",c,7.136,"$6,500,000 ",,
"Cashner, Andrew",rhp-s,7.126,"$6,500,000 ",,
"Moreland, Mitch",1b-dh,7.067,"$6,500,000 ",,
"Cishek, Steve",rhp,6.143,"$6,500,000 ",,
"Lagares, Juan",cf,4.160,"$6,500,000 ",,
"Gray, Sonny",rhp-s,4.061,"$6,500,000 ",,
"Stroman, Marcus",rhp-s,3.148,"$6,500,000 ",,
"Roark, Tanner",rhp-s,4.055,"$6,475,000 ",,
"Archer, Chris",rhp-s,4.156,"$6,416,667 ",,
"Odorizzi, Jake",rhp-s,4.042,"$6,300,000 ",,
"Iglesias, Jose",ss,5.036,"$6,275,000 ",,
"Pearce, Steve",1b-lf,8.116,"$6,250,000 ",,
"Bradley, Jackie Jr.",cf,3.150,"$6,100,000 ",,
"Castellanos, Nick",3b,4.029,"$6,050,000 ",,
"Gomes, Yan",c,5.083,"$6,033,333 ",,
"Casilla, Santiago",rhp,10.148,"$6,000,000 ",,
"Vargas, Jason",lhp-s,10.114,"$6,000,000 ",,
"Lowrie, Jed",2b,9.111,"$6,000,000 ",,
"Joyce, Matt",rf,8.123,"$6,000,000 ",,
"Sipp, Tony",lhp,8.100,"$6,000,000 ",,
"Perez, Martin",lhp-s,5.038,"$6,000,000 ",,
"Eaton, Adam",cf,5.030,"$6,000,000 ",,
"Wood, Alex",lhp-s,4.123,"$6,000,000 ",,
"Fiers, Michael",rhp-s,4.085,"$6,000,000 ",,
"Dickerson, Corey",lf,4.101,"$5,950,000 ",,
"Hechavarria, Adeiny",ss,5.060,"$5,900,000 ",,
"Strop, Pedro",rhp,6.156,"$5,850,000 ",,
"Rodriguez, Sean",2b-3b,8.133,"$5,750,000 ",,
"Gennett, Scooter",2b,4.071,"$5,700,000 ",,
"Kiermaier, Kevin",cf,3.131,"$5,666,666 ",,
"Harvey, Matt",rhp-s,5.072,"$5,625,000 ",,
"Gausman, Kevin",rhp-s,3.151,"$5,600,000 ",,
"Chisenhall, Lonnie",rf,5.158,"$5,587,500 ",,
"Phelps, David",rhp,5.156,"$5,550,000 ",,
"Kelley, Shawn",rhp,8.128,"$5,500,000 ",,
"Rzepczynski, Marc",lhp,7.132,"$5,500,000 ",,
"Hudson, Daniel",rhp,7.117,"$5,500,000 ",,
"Morrison, Logan",1b,7.069,"$5,500,000 ",,
"Moustakas, Mike",3b,6.111,"$5,500,000 ",,
"Swarzak, Anthony",rhp,6.024,"$5,500,000 ",,
"Wacha, Michael",rhp-s,4.062,"$5,300,000 ",,
"Colome, Alex",rhp-c,3.118,"$5,300,000 ",,
"Osuna, Roberto",rhp-c,3.000,"$5,300,000 ",,
"Iglesias, Raisel",rhp-c,2.154,"$5,214,286 ",,
"Brach, Brad",rhp,5.063,"$5,165,000 ",,
"Gonzalez, Marwin",1b-3b,5.133,"$5,125,000 ",,
"Betances, Dellin",rhp,4.078,"$5,100,000 ",,
"Hernandez, Cesar",2b,3.154,"$5,100,000 ",,
"Granderson, Curtis",cf-rf,12.077,"$5,000,000 ",,
"Johnson, Jim",rhp,9.161,"$5,000,000 ",,
"Gonzalez, Carlos",rf,9.059,"$5,000,000 ",,
"Gregerson, Luke",rhp-c,9.000,"$5,000,000 ",,
"Kintzler, Brandon",rhp,6.003,"$5,000,000 ",,
"McHugh, Collin",rhp-s,4.085,"$5,000,000 ",,
"Salazar, Danny",rhp-s,3.162,"$5,000,000 ",,
"Thames, Eric",1b,2.063,"$5,000,000 ",,
"Miller, Shelby",rhp-s,4.166,"$4,900,000 ",,
"Paxton, James",lhp-s,3.151,"$4,900,000 ",,
"Escobar, Eduardo",ss,5.128,"$4,850,000 ",,
"Walker, Taijuan",rhp-s,3.142,"$4,825,000 ",,
"Gonzalez, Miguel",rhp-s,6.084,"$4,750,000 ",,
"Anderson, Chase",rhp-s,3.146,"$4,750,000 ",,
"Inciarte, Ender",cf,3.157,"$4,700,000 ",,
"Soler, Jorge",rf,2.143,"$4,666,667 ",,
"Hamilton, Billy",cf,4.028,"$4,600,000 ",,
"Giles, Ken",rhp-c,3.113,"$4,600,000 ",,
"Myers, Wil",of-1b,4.104,"$4,500,000 ",,
"Miller, Brad",2b,4.094,"$4,500,000 ",,
"Barnhart, Tucker",c,3.075,"$4,437,500 ",,
"Dyson, Sam",rhp,3.142,"$4,425,000 ",,
"Doolittle, Sean",lhp-c,5.122,"$4,380,000 ",,
"Lamb, Jake",3b,3.053,"$4,275,000 ",,
"Rodney, Fernando",rhp-c,14.137,"$4,250,000 ",,
"Freese, David",3b,8.028,"$4,250,000 ",,
"Wilson, Justin",lhp,5.035,"$4,250,000 ",,
"Ramirez, Erasmo",rhp,4.158,"$4,200,000 ",,
"Gibson, Kyle",rhp-s,4.039,"$4,200,000 ",,
"Hendricks, Kyle",rhp-s,3.081,"$4,175,000 ",,
"Smoak, Justin",1b,7.077,"$4,125,000 ",,
"Solarte, Yangervis",3b,4.000,"$4,125,000 ",,
"Shoemaker, Matt",rhp-s,3.166,"$4,125,000 ",,
"Polanco, Gregory",lf,3.103,"$4,100,000 ",,
"Hand, Brad",lhp,4.092,"$4,083,333 ",,
"Liriano, Francisco",lhp-s,11.104,"$4,000,000 ",,
