Player,Pos,MLS,2014 Salary
"Diaz, Aledmys",ss,0.000,"$1,000,000 "
"Turner, Jacob",rhp-s,1.033,"$1,000,000 "
"Perez, Martin",lhp-s,1.038,"$1,000,000 "
"Trout, Mike",cf,2.070,"$1,000,000 "
"Turner, Justin",inf,3.045,"$1,000,000 "
"Stewart, Chris",c,3.091,"$1,000,000 "
"McDonald, James",rhp-s,4.074,"$1,000,000 "
"Kelly, Don",of-3b,4.138,"$1,000,000 "
"Bernadina, Roger",of,4.146,"$1,000,000 "
"Hannahan, Jack",3b,5.065,"$1,000,000 "
"Neshek, Pat",rhp,5.159,"$1,000,000 "
"Young, Delmon",lf,7.028,"$1,000,000 "
"Bartlett, Jason",ss,7.053,"$1,000,000 "
"Buck, John",c,9.101,"$1,000,000 "
"Valverde, Jose",rhp,9.155,"$1,000,000 "
"Johnson, Reed",of,10.145,"$1,000,000 "
"Harang, Aaron",rhp-s,11.061,"$1,000,000 "
"Giambi, Jason",dh-1b,18.082,"$1,000,000 "
"Blanks, Kyle",lf-1b,4.032,"$987,500 "
"Alonso, Yonder",1b,2.116,"$980,000 "
"Yoon, Suk-min",rhp,0.000,"$975,000 "
"Pestano, Vinnie",rhp,2.160,"$975,000 "
"Collmenter, Josh",rhp,3.000,"$975,000 "
"Teheran, Julio",rhp-s,1.062,"$966,666 "
"Lobaton, Jose",c,2.138,"$950,000 "
"Flowers, Tyler",c,2.148,"$950,000 "
"Mazzaro, Vin",rhp,3.021,"$950,000 "
"Nix, Jayson",2b,4.127,"$950,000 "
"Swarzak, Anthony",rhp,3.038,"$935,000 "
"Johnson, Elliot",2b,3.028,"$930,000 "
"Stewart, Ian",3b,4.088,"$900,000 "
"Frandsen, Kevin",2b-ss,4.151,"$900,000 "
"Gwynn Jr., Tony",of,4.171,"$900,000 "
"Figgins, Chone",3b,9.145,"$900,000 "
"Wilson, Josh",inf,4.118,"$875,000 "
"Morgan, Nyjer",lf,4.120,"$875,000 "
"Baker, John",c,4.141,"$875,000 "
"Pena, Brayan",c,6.081,"$875,000 "
"Salas, Fernando",rhp,3.048,"$870,000 "
"Quintana, Jose",lhp-s,1.133,"$850,000 "
"Gutierrez, Juan (J.C.)",rhp,4.035,"$850,000 "
"Pearce, Steve",1b-lf,4.116,"$850,000 "
"Duke, Zach",lhp-s,7.054,"$850,000 "
"Beimel, Joe",lhp,9.018,"$850,000 "
"McDonald, John",ss-2b,12.118,"$850,000 "
"Petit, Yusmeiro",rhp-s,3.016,"$845,000 "
"Alburquerque, Al",rhp,2.147,"$837,500 "
"Marte, Starling",lf,1.070,"$833,333 "
"Murphy, Donnie",3b-ss,4.101,"$825,000 "
"Meek, Evan",rhp,3.072,"$800,000 "
"Fuld, Sam",of,3.140,"$800,000 "
"Slowey, Kevin",rhp-s,4.053,"$800,000 "
"Quintanilla, Omar",ss,4.122,"$800,000 "
"Atchison, Scott",rhp,4.168,"$800,000 "
"Grandal, Yasmani",c,1.115,"$792,000 "
"Chavez, Jesse",rhp,3.108,"$775,000 "
"Nady, Xavier",rf,9.037,"$775,000 "
"Furbush, Charlie",lhp,2.121,"$750,000 "
"Rosales, Adam",inf,4.099,"$750,000 "
"Sizemore, Grady",cf,8.056,"$750,000 "
"Ramos, Cesar",lhp,3.003,"$749,750 "
"Abreu, Tony",2b-3b,3.170,"$745,000 "
"Baxter, Mike",of-1b,2.129,"$700,000 "
"Butera, Drew",c,3.018,"$700,000 "
"Pena, Ramiro",inf,3.089,"$700,000 "
"Hudson, Daniel",rhp-s,3.117,"$700,000 "
"Cervelli, Francisco",c,3.146,"$700,000 "
"Archer, Chris",rhp-s,0.156,"$666,667 "
"Fernandez, Jose",rhp-s,1.000,"$635,000 "
"Hayes, Brett",c,3.017,"$630,000 "
"Frazier, Todd",3b,2.071,"$600,000 "
"Cozart, Zack",ss,2.084,"$600,000 "
"Rodriguez, Fernando",rhp,2.142,"$600,000 "
"Doubront, Felix",lhp-s,2.120,"$586,000 "
"Elbert, Scott",lhp,3.069,"$575,000 "
"Rowland-Smith, Ryan",lhp-s,3.079,"$575,000 "
"Torres, Carlos",rhp-s,1.114,"$561,875 "
"Crawford, Brandon",ss,2.094,"$560,000 "
"Wood, Blake",rhp,3.108,"$560,000 "
"Nava, Daniel",lf,2.066,"$556,500 "
"Peguero, Francisco",cf-lf,0.087,"$550,000 "
"Escalona, Edgmer",rhp,1.152,"$550,000 "
"Kalish, Ryan",of,2.033,"$550,000 "
"Brown, Domonic",lf,2.078,"$550,000 "
"Reynolds, Matt",lhp,3.046,"$550,000 "
"Moustakas, Mike",3b,2.111,"$549,000 "
"Harvey, Matt",rhp-s,1.072,"$546,625 "
"Cain, Lorenzo",cf,2.074,"$546,000 "
"Tillman, Chris",rhp-s,2.113,"$546,000 "
"Jones, Nate",rhp-c,2.000,"$545,000 "
"Arrieta, Jake",rhp-s,2.145,"$544,500 "
"Rice, Scott",lhp,1.000,"$542,500 "
"Diamond, Scott",lhp-s,1.161,"$542,500 "
"Phelps, David",rhp-s,1.156,"$541,425 "
"Espinosa, Danny",2b-ss,2.113,"$540,850 "
"Middlebrooks, Will",3b,1.121,"$540,500 "
"Seager, Kyle",3b,2.085,"$540,100 "
"Dozier, Brian",2b,1.100,"$540,000 "
"Reed, Addison",rhp-c,2.027,"$538,500 "
"Tuiasosopo, Matt",3b,2.079,"$538,500 "
"Pineda, Michael",rhp-s,2.099,"$538,475 "
"Brown, Andrew",rf-lf,1.036,"$538,045 "
"Coleman, Louis",rhp,2.053,"$537,000 "
"Manship, Jeff",rhp,1.075,"$535,000 "
"Lynn, Lance",rhp-s,2.119,"$535,000 "
"Segura, Jean",ss,1.065,"$534,000 "
"Carpenter, David",rhp,2.016,"$532,500 "
"Valencia, Danny",3b,2.118,"$532,500 "
"Fien, Casey",rhp,1.143,"$530,000 "
"Castillo, Welington",c,2.009,"$530,000 "
"Santiago, Hector",lhp-s,2.024,"$530,000 "
"Dyson, Jarrod",cf,2.088,"$530,000 "
"Shaw, Bryan",rhp,2.081,"$529,500 "
"Gonzalez, Miguel",rhp-s,2.107,"$529,000 "
"Wilhelmsen, Tom",rhp,2.091,"$528,800 "
"Bogusevic, Brian",lf,2.071,"$528,500 "
"Warren, Adam",rhp-s,1.036,"$527,400 "
"Abad, Fernando",lhp,2.073,"$525,900 "
"Alvarez, Henderson",rhp-s,2.051,"$525,400 "
"Hicks, Brandon",ss,1.022,"$525,000 "
"Mesoraco, Devin",c,2.028,"$525,000 "
"Miley, Wade",lhp-s,2.044,"$523,500 "
"Kelly, Joe",rhp-s,1.060,"$523,000 "
"Herrera, Kelvin",rhp,1.157,"$522,500 "
"Britton, Zach",lhp,1.158,"$521,500 "
"Miller, Shelby",rhp-s,1.030,"$521,000 "
"Rosenthal, Trevor",rhp-c,1.058,"$521,000 "
"Cruz, Tony",c,2.105,"$521,000 "
"Gattis, Evan",c,1.000,"$520,250 "
"Deduno, Samuel",rhp-s,1.096,"$520,000 "
"Hoover, J.J.",rhp,1.102,"$520,000 "
"Richards, Garrett",rhp-s,1.148,"$520,000 "
"Smyly, Drew",lhp-s,1.154,"$520,000 "
"Machado, Manny",3b,1.056,"$519,000 "
"Robinson, Shane",of,2.030,"$519,000 "
"Watson, Tony",lhp,2.101,"$518,500 "
"Workman, Brandon",rhp,0.083,"$518,000 "
"Florimon Jr, Pedro",ss,1.073,"$517,500 "
"Avilan, Luis",lhp,1.091,"$517,500 "
"Lombardozzi, Steve",inf,2.023,"$517,500 "
"Conger, Hank",c,2.051,"$517,500 "
"Bogaerts, Xander",ss,0.042,"$517,000 "
"Eovaldi, Nate",rhp-s,2.013,"$517,000 "
"Jennings, Desmond",cf,2.101,"$517,000 "
"Cobb, Alex",rhp-s,2.061,"$516,900 "
"Lawrie, Brett",3b,2.055,"$516,100 "
"Adams, Matt",1b,1.033,"$516,000 "
"Veal, Donald",lhp,2.000,"$516,000 "
"Delabar, Steve",rhp,2.015,"$515,900 "
"Thayer, Dale",rhp,2.071,"$515,800 "
"Diekman, Jacob",lhp,1.050,"$515,500 "
"Mercer, Jordy",ss,1.095,"$515,500 "
"Allen, Cody",rhp,1.076,"$515,400 "
"Scheppers, Tanner",rhp,1.119,"$515,179 "
"Koehler, Tom",rhp-s,1.016,"$515,000 "
"Peralta, Wily",rhp-s,1.033,"$515,000 "
"Wilson, Justin",lhp,1.035,"$515,000 "
"De La Rosa, Dane",rhp,1.051,"$515,000 "
"Corbin, Patrick",lhp-s,1.105,"$515,000 "
"Varvaro, Anthony",rhp,1.121,"$515,000 "
"Gordon, Dee",ss,1.154,"$515,000 "
"Kohn, Michael",rhp,2.112,"$515,000 "
"Gomez, Jeanmar",rhp,2.063,"$514,500 "
"Rondon, Hector",rhp,1.000,"$514,000 "
"Kluber, Corey",rhp-s,1.074,"$514,000 "
"Ciriaco, Pedro",ss,1.171,"$513,500 "
"Locke, Jeff",lhp-s,1.068,"$513,000 "
"Gomes, Yan",c,1.083,"$513,000 "
"De Fratus, Justin",rhp,1.120,"$513,000 "
"Harrison, Josh",3b-ss,2.033,"$513,000 "
"Ross, Robbie",lhp,2.000,"$512,745 "
"Medina, Yoervis",rhp,1.000,"$512,600 "
"Cole, Gerrit",rhp-s,0.111,"$512,500 "
"Arcia, Oswaldo",rf,0.132,"$512,500 "
"Cingrani, Tony",lhp-s,0.163,"$512,500 "
"Rodriguez, Paco",lhp,1.029,"$512,500 "
"Beato, Pedro",rhp,1.134,"$512,500 "
"Flaherty, Ryan",3b-ss,2.000,"$512,500 "
"Loup, Aaron",lhp,1.083,"$512,400 "
"Noesi, Hector",rhp,2.006,"$512,400 "
"Wheeler, Zack",rhp-s,0.098,"$512,375 "
"Lincoln, Brad",rhp,2.034,"$512,300 "
"Gillaspie, Conor",3b,1.069,"$512,000 "
"Henderson, Jim",rhp-c,1.070,"$512,000 "
"Sanchez, Hector",c,1.166,"$512,000 "
"Ramirez, Erasmo",rhp-s,1.021,"$511,800 "
"Morris, Bryan",rhp,1.011,"$511,500 "
"Presley, Alex",cf,1.162,"$511,500 "
"Amarista, Alexi",2b-ss,2.053,"$511,100 "
"Eaton, Adam",cf,1.030,"$511,000 "
"Gyorko, Jedd",2b,1.000,"$510,900 "
"Farquhar, Danny",rhp,0.158,"$510,800 "
"Chisenhall, Lonnie",3b,2.027,"$510,800 "
"Lough, David",rf,0.169,"$510,500 "
"Vincent, Nick",rhp,1.007,"$510,200 "
"Kratz, Erik",c,1.158,"$510,200 "
"Miller, Brad",ss,0.094,"$510,100 "
"Dominguez, Matt",3b,1.062,"$510,100 "
"Wacha, Michael",rhp-s,0.062,"$510,000 "
"Lucas, Ed",inf,0.124,"$510,000 "
"Thielbar, Caleb",lhp,0.133,"$510,000 "
"Garcia, Avisail",rf,0.167,"$510,000 "
"Putkonen, Luke",rhp,1.018,"$510,000 "
"Harris, Will",rhp,1.027,"$510,000 "
"Ramos, A.J.",rhp,1.030,"$510,000 "
"Parmelee, Chris",1b,1.087,"$510,000 "
"Delgado, Randall",rhp-s,1.100,"$510,000 "
"Carter, Chris",dh-1b,1.159,"$510,000 "
"Milone, Tom",lhp-s,2.018,"$510,000 "
"Sogard, Eric",2b,2.064,"$510,000 "
"Gimenez, Chris",c,2.146,"$510,000 "
"Harrell, Lucas",rhp-s,2.083,"$509,700 "
"Forsythe, Logan",inf,2.113,"$509,700 "
"Mejia, Jenrry",rhp-s,1.140,"$509,675 "
"Campana, Tony",of,1.155,"$509,500 "
"Torres, Alex",lhp,0.141,"$509,000 "
"Maness, Seth",rhp,0.154,"$509,000 "
"Keuchel, Dallas",lhp-s,1.089,"$508,700 "
"Gomes, Brandon",rhp,2.003,"$507,800 "
"Jeffress, Jeremy",rhp,1.017,"$507,600 "
"Hicks, Aaron",of,0.124,"$507,500 "
"Van Slyke, Scott",of-1b,0.151,"$507,500 "
"Gearrin, Cory",rhp,1.044,"$507,500 "
"Escobar, Eduardo",inf,1.128,"$507,500 "
"Sanchez, Tony",c,0.065,"$507,000 "
"Pollock, A.J.",cf,1.052,"$507,000 "
"Kintzler, Brandon",rhp,2.101,"$507,000 "
"Satin, Josh",1b-3b,0.145,"$506,809 "
"Lagares, Juan",cf,0.160,"$506,636 "
"Withrow, Chris",rhp,0.132,"$506,600 "
"Fields, Josh",rhp,1.000,"$506,500 "
"Pryor, Stephen",rhp,1.125,"$506,500 "
"Rivera, Rene",c,2.082,"$506,400 "
"Wood, Alex",lhp-s,0.123,"$506,250 "
"Roark, Tanner",rhp-s,0.055,"$506,100 "
"Calhoun, Kole",rf,0.130,"$506,000 "
"Cowgill, Collin",cf-rf,1.151,"$506,000 "
"Profar, Jurickson",2b,0.167,"$505,750 "
"Redmond, Todd",rhp-s,0.129,"$505,700 "
"Pimentel, Stolmy",rhp,0.030,"$505,500 "
"Garcia, Leury",3b-of,0.116,"$505,500 "
"Grimm, Justin",rhp,0.170,"$505,500 "
"Recker, Anthony",c,1.128,"$505,340 "
"Corporan, Carlos",c,2.019,"$505,300 "
"Bass, Anthony",rhp,2.031,"$505,200 "
"Yelich, Christian",lf,0.069,"$505,000 "
"Martinez, Carlos",rhp,0.073,"$505,000 "
"Colabello, Chris",1b,0.081,"$505,000 "
"Rondon, Bruce",rhp,0.103,"$505,000 "
"Siegrist, Kevin",lhp,0.116,"$505,000 "
"Thornburg, Tyler",rhp-s,0.146,"$505,000 "
"Ozuna, Marcell",of,0.153,"$505,000 "
"Machi, Jean",rhp,0.154,"$505,000 "
"Straily, Dan",rhp-s,1.031,"$505,000 "
"Pomeranz, Drew",lhp-s,1.050,"$505,000 "
"Schafer, Logan",of,1.058,"$505,000 "
"Scribner, Evan",rhp,1.088,"$505,000 "
"Griffin, A.J.",rhp-s,1.102,"$505,000 "
"Norris, Derek",c,1.102,"$505,000 "
"Doolittle, Sean",lhp,1.122,"$505,000 "
"Clevenger, Steve",c,1.129,"$505,000 "
"Cook, Ryan",rhp,2.036,"$505,000 "
"Huff, David",lhp,2.062,"$505,000 "
"Germen, Gonzalez",rhp,0.087,"$504,875 "
"Sierra, Moises",of,0.105,"$504,700 "
"Carrasco, Carlos",rhp-s,2.147,"$504,700 "
"Kirkman, Michael",lhp,2.049,"$504,576 "
"Nuno, Vidal",lhp-s,0.055,"$504,500 "
"Erlin, Robbie",lhp-s,0.057,"$504,500 "
"Grossman, Robbie",lf,0.099,"$504,500 "
"Bueno, Francisley",lhp,0.111,"$504,500 "
"McAllister, Zach",rhp-s,1.124,"$504,500 "
"Gonzalez, Marwin",2b-ss,1.133,"$504,500 "
"Jordan, Taylor",rhp-s,0.093,"$504,300 "
"Peacock, Brad",rhp-s,0.124,"$504,300 "
"Valdes, Raul",lhp,2.085,"$504,300 "
"Myers, Wil",rf,0.104,"$504,200 "
"Lueke, Josh",rhp,0.170,"$504,200 "
"Zunino, Mike",c,0.111,"$504,100 "
"Gennett, Scooter",2b-ss,0.084,"$504,000 "
"Stinson, Josh",rhp,0.090,"$504,000 "
Krol. Ian,lhp,0.118,"$504,000 "
"Romine, Andrew",ss-2b,1.049,"$504,000 "
"Villar, Jonathan",ss,0.070,"$503,800 "
"Oberholtzer, Brett",lhp-s,0.079,"$503,600 "
"Paxton, James",lhp-s,0.027,"$503,500 "
"Chapman, Kevin",lhp,0.052,"$503,400 "
"Hutchison, Drew",rhp-s,1.128,"$503,200 "
"Odorizzi, Jake",rhp-s,0.042,"$503,100 "
"Reed, Evan",rhp,0.082,"$503,000 "
"Cabrera, Alberto",rhp,0.093,"$503,000 "
"Davis, Khris",lf,0.104,"$503,000 "
"Hoes, L.J.",rf,0.087,"$502,900 "
"Familia, Jeurys",rhp,1.030,"$502,550 "
"Hale, David",rhp-s,0.025,"$502,500 "
"Tonkin, Michael",rhp,0.028,"$502,500 "
"Gibson, Kyle",rhp,0.056,"$502,500 "
"Gray, Sonny",rhp-s,0.061,"$502,500 "
"Lake, Junior",lf-cf,0.073,"$502,500 "
"Otero, Danny",rhp,0.169,"$502,500 "
"Walker, Taijuan",rhp-s,0.031,"$502,400 "
"Krauss, Marc",lf-rf,0.101,"$502,300 "
"Skaggs, Tyler",lhp-s,0.066,"$502,250 "
"Chirinos, Robinson",c,1.103,"$502,232 "
"Betances, Dellin",rhp,0.078,"$502,100 "
"Tolleson, Shawn",rhp,1.122,"$502,082 "
"Choice, Michael",of,0.029,"$502,000 "
"Wright, Steve",rhp,0.033,"$502,000 "
"Bradley, Jackie Jr.",cf,0.059,"$502,000 "
"Gosewisch, Tuffy",c,0.060,"$502,000 "
"Olt, Mike",1b-3b,0.063,"$502,000 "
"Beltre, Engel",cf,0.077,"$502,000 "
"Holaday, Bryan",c,0.107,"$502,000 "
"Smith, Will",lhp-s,0.155,"$502,000 "
"Bianchi, Jeff",inf,1.057,"$502,000 "
"Maldonado, Martin",c,1.156,"$502,000 "
"Pacheco, Jordan",c,2.005,"$502,000 "
"Rosario, Wilin",c,2.023,"$502,000 "
"Chatwood, Tyler",rhp-s,2.039,"$502,000 "
"Lyles, Jordan",rhp-s,2.060,"$502,000 "
"Ottavino, Adam",rhp,2.087,"$502,000 "
"White, Alex",rhp,2.092,"$502,000 "
"Brothers, Rex",lhp,2.117,"$502,000 "
"Almonte, Abraham",of,0.031,"$501,900 "
"Goins, Ryan",ss,0.039,"$501,900 "
"Wieland, Joe",rhp,2.000,"$501,600 "
"d'Arnaud, Travis",c,0.044,"$501,560 "
"Salazar, Danny",rhp-s,0.055,"$501,500 "
"Dietrich, Derek",2b-ss,0.076,"$501,500 "
"Jennings, Dan",lhp,1.017,"$501,500 "
"Davis, Erik",rhp,0.045,"$501,400 "
"Kelly, Casey",rhp,1.038,"$501,400 "
"Medica, Tommy",1b,0.020,"$501,200 "
"Guyer, Brandon",of,1.066,"$501,200 "
"Adduci, Jim",lf,0.029,"$501,000 "
"Oliver, Andy",lhp-s,0.034,"$501,000 "
"Perez, Juan",of,0.056,"$501,000 "
"Maronde, Nick",lhp,0.058,"$501,000 "
"Cleto, Maikel",rhp,0.069,"$501,000 "
"Barnes, Brandon",lf-cf,1.058,"$501,000 "
"Blackmon, Charlie",of,1.102,"$501,000 "
"LeMahieu, D.J.",2b,1.128,"$501,000 "
"Brasier, Ryan",rhp,0.041,"$500,750 "
"Ventura, Yordano",rhp-s,0.013,"$500,500 "
"Shoemaker, Matt",rhp-s,0.014,"$500,500 "
"Schoop, Jonathan",2b-3b,0.027,"$500,500 "
"Adrianza, Ehire",ss,0.027,"$500,500 "
"Partch, Curtis",rhp,0.086,"$500,500 "
"Beckham, Tim",2b-ss,0.012,"$500,200 "
"Buchter, Ryan",lhp,0.000,"$500,000 "
"Schlosser, Gus",rhp,0.000,"$500,000 "
"Thomas, Ian",lhp,0.000,"$500,000 "
"Almanzar, Michael",3b,0.000,"$500,000 "
"Nieto, Adrian",c,0.000,"$500,000 "
"Barnhart, Tucker",c,0.000,"$500,000 "
"Kahnle, Tommy",rhp,0.000,"$500,000 "
"Collins, Tyler",of,0.000,"$500,000 "
"Suarez, Eugenio",ss-2b,0.000,"$500,000 "
"Wojciechowski, Asher",rhp,0.000,"$500,000 "
"Moran, Brian",lhp,0.000,"$500,000 "
"Wang, Wei-Chung",lhp,0.000,"$500,000 "
"Anna, Dean",2b,0.000,"$500,000 "
"Hollands, Mario",lhp,0.000,"$500,000 "
"Roach, Donn",rhp,0.000,"$500,000 "
"Elias, Roenis",lhp,0.000,"$500,000 "
"Romero, Stefen",2b,0.000,"$500,000 "
"Rosin, Seth",rhp,0.000,"$500,000 "
"Barrett, Aaron",rhp,0.000,"$500,000 "
"Garcia, Onelki",lhp,0.019,"$500,000 "
"Owings, Chris",ss,0.027,"$500,000 "
"Johnson, Erik",rhp-s,0.027,"$500,000 "
"Semien, Marcus",inf,0.027,"$500,000 "
"Webb, Daniel",rhp,0.027,"$500,000 "
"Hamilton, Billy",cf,0.028,"$500,000 "
"Castellanos, Nick",3b,0.029,"$500,000 "
"Pinto, Josmil",c,0.030,"$500,000 "
"Marshall, Brett",rhp,0.033,"$500,000 "
"Soto, Neftali",3b,0.036,"$500,000 "
"Christani, Nick",rhp,0.039,"$500,000 "
"Hernandez, Cesar",2b,0.044,"$500,000 "
"Wong, Kolten",2b,0.045,"$500,000 "
"Martin, Ethan",rhp,0.059,"$500,000 "
"Bettis, Chad",rhp,0.060,"$500,000 "
"Asche, Cody",3b,0.062,"$500,000 "
"Cosart, Jarred",rhp-s,0.070,"$500,000 "
"Culberson, Charlie",inf,0.074,"$500,000 "
"Hand, Brad",lhp,0.092,"$500,000 "
"Dickerson, Corey",rf-lf,0.101,"$500,000 "
"Ruf, Darin",1b-of,0.110,"$500,000 "
"Rosenberg, B.J.",rhp,0.125,"$500,000 "
"Arenado, Nolan",3b,0.155,"$500,000 "
"Schlitter, Brian",rhp,1.039,"$500,000 "
"Pastornicky, Tyler",ss-2b,1.065,"$500,000 "
"Galvis, Freddy",ss,1.116,"$500,000 "
"Bell, Trevor",rhp,1.124,"$500,000 "
"Donaldson, Josh",3b,1.158,"$500,000 "
"Parker, Jarrod",rhp-s,2.000,"$500,000 "
"Saunders, Joe",lhp-s,7.013,"$500,000 "
